roadId,from_node,to_node,from_node_lat,from_node_lon,to_node_lat,to_node_lon,length
6179,42446934,42449314,40.7451327,-73.980654,40.7444443,-73.9790461,155.67475335504835
6180,42446935,42446934,40.7457355,-73.9802079,40.7451327,-73.980654,76.85016909117329
6181,42446935,3786901738,40.7457355,-73.9802079,40.7464005,-73.9817748,151.386690363711
6182,42446941,42434954,40.747684,-73.978788,40.747068,-73.979238,78.29206014889621
6183,42446941,42449932,40.747684,-73.978788,40.7469955,-73.9771464,158.16081269120326
6184,42446942,42446941,40.7482941,-73.9783444,40.747684,-73.978788,77.4569523414906
6185,42446942,42449683,40.7482941,-73.9783444,40.7489496,-73.9798606,147.14539988225596
6186,42446945,42446942,40.748921,-73.977888,40.7482941,-73.9783444,79.61366253864253
6187,42446945,42449938,40.748921,-73.977888,40.7482313,-73.9762484,158.0776081437086
6188,42446949,42445656,40.7501558,-73.9769869,40.7495393,-73.9774355,78.28359610188546
6189,42446949,42449942,40.7501558,-73.9769869,40.7494655,-73.9753516,157.79311385434588
6190,42446959,42432444,40.7514557,-73.9760254,40.7507747,-73.9765352,87.06132528561122
6191,42446959,42443804,40.7514557,-73.9760254,40.7524129,-73.9783547,223.36452809175225
6192,42446959,42449945,40.7514557,-73.9760254,40.7507644,-73.9744077,156.55280393011998
6193,42446971,42446959,40.752116,-73.975558,40.7514557,-73.9760254,83.31850193805789
6194,42446977,42446971,40.752741,-73.975102,40.752116,-73.975558,79.41247015664328
6195,42446977,42449948,40.752741,-73.975102,40.7520542,-73.9734705,157.324032999943
6196,42446986,42434085,40.7546125,-73.9737345,40.7539937,-73.9741902,78.79770336120757
6197,42446986,100522728,40.7546125,-73.9737345,40.7552643,-73.9752404,146.18727809816275
6198,42446987,42446986,40.7552316,-73.9732717,40.7546125,-73.9737345,79.12030902374278
6199,42446987,42448813,40.7552316,-73.9732717,40.754561,-73.9716488,155.8225089242201
6200,42446991,42438889,40.756498,-73.972362,40.75587,-73.97282,79.7859451143938
6201,42446991,42449956,40.756498,-73.972362,40.7558176,-73.9707356,156.6033119423348
6202,42446994,42440459,40.7577471,-73.9714524,40.7571246,-73.9719073,79.12439135937356
6203,42446994,42449961,40.7577471,-73.9714524,40.7570629,-73.9698306,156.46877768071312
6204,42446998,42449963,40.7590024,-73.970533,40.7583238,-73.9689143,155.93826307882438
6205,42446998,42436705,40.7590024,-73.970533,40.7583747,-73.9709918,79.78987419406471
6206,42447007,42432847,40.7616264,-73.9686401,40.7609292,-73.9691318,87.90217636576102
6207,42447007,42449971,40.7616264,-73.9686401,40.7609503,-73.9670318,155.03664048122772
6208,42447009,4288677093,40.7622356,-73.9681807,40.761555,-73.9665764,154.98550517735498
6209,42447009,42447007,40.7622356,-73.9681807,40.7616264,-73.9686401,78.02198931542645
6210,42447020,42447009,40.7628723,-73.9677091,40.7622356,-73.9681807,81.18905811073232
6211,42447020,6177439750,40.7628723,-73.9677091,40.763488,-73.9692158,144.29926693039545
6212,42447030,42436516,40.7641054,-73.9668127,40.7634817,-73.9672707,79.36793663058502
6213,42447030,42449982,40.7641054,-73.9668127,40.7634317,-73.9652142,154.18461564025455
6214,42447060,42431654,40.7659843,-73.9654448,40.7653573,-73.9658998,79.56642118090666
6215,42447060,42449985,40.7659843,-73.9654448,40.7653085,-73.9638433,154.51913507063398
6216,42447069,42447060,40.7666073,-73.9649892,40.7659843,-73.9654448,79.20162153389136
6217,42447069,42447230,40.7666073,-73.9649892,40.7672427,-73.9664877,144.74721926756212
6218,42447076,42455694,40.7684845,-73.9636198,40.7691167,-73.9651195,144.6623438576897
6219,42447076,42431678,40.7684845,-73.9636198,40.7678636,-73.9640743,78.95247347724157
6220,42447084,42430060,40.7730129,-73.9603164,40.7723778,-73.9607795,80.68480013339892
6221,42447084,42450009,40.7730129,-73.9603164,40.7723386,-73.9587132,154.56343904268456
6222,42447105,42459137,40.7749718,-73.9588917,40.7755735,-73.9603796,142.1669171282467
6223,42447105,42450015,40.7749718,-73.9588917,40.7742888,-73.9572899,154.93198693358207
6224,42447105,42436917,40.7749718,-73.9588917,40.7742766,-73.9593879,87.88612566965676
6225,42447115,42438498,40.7762703,-73.9579394,40.7756382,-73.9584018,80.36443568558894
6226,42447115,42452954,40.7762703,-73.9579394,40.7768948,-73.9594155,142.50749858717882
6227,42447126,42448216,40.7775459,-73.9570093,40.778169,-73.9584859,142.46856529630767
6228,42447126,42439399,40.7775459,-73.9570093,40.7769107,-73.9574722,80.68637306863988
6229,42447132,42435509,40.7788122,-73.9560833,40.7781812,-73.9565451,80.23295574346878
6230,42447132,42458766,40.7788122,-73.9560833,40.7794356,-73.9575618,142.62476827871757
6231,42447136,42429334,40.7801739,-73.9550916,40.7795072,-73.9555814,84.8490187357929
6232,42447136,42454192,40.7801739,-73.9550916,40.7807974,-73.9565682,142.4901944087933
6233,42447144,42444814,40.782682,-73.95326,40.782055,-73.9537187,79.71728761058466
6234,42447144,42456578,40.782682,-73.95326,40.7833046,-73.9547388,142.60368143481466
6235,42447149,42447144,40.7833024,-73.9528059,40.782682,-73.95326,78.88750273365747
6236,42447149,42448735,40.7833024,-73.9528059,40.7826365,-73.9511915,154.941490293188
6237,42447166,42450044,40.785876,-73.9509304,40.7852013,-73.9493377,153.8243709128029
6238,42447166,42434169,40.785876,-73.9509304,40.7851964,-73.9514271,86.41470511396633
6239,42447166,42457660,40.785876,-73.9509304,40.7865029,-73.9524293,144.3200448995743
6240,42447169,42447166,40.7865518,-73.9504362,40.785876,-73.9509304,85.96800893309927
6241,42447169,42449005,40.7865518,-73.9504362,40.7871739,-73.9519292,143.62523615456473
6242,42447174,42450048,40.7871837,-73.9499802,40.7865031,-73.9483784,154.80138707525964
6243,42447174,42447169,40.7871837,-73.9499802,40.7865518,-73.9504362,80.09677334924754
6244,42447176,42450052,40.7884298,-73.9490632,40.7877536,-73.9474623,154.4965684926972
6245,42447176,42445259,40.7884298,-73.9490632,40.7878057,-73.9495176,79.259643361736
6246,42447179,42436619,40.7915682,-73.9467668,40.7909323,-73.9472339,80.92622064013032
6247,42447179,42459041,40.7915682,-73.9467668,40.7922008,-73.9482624,144.38197061471732
6248,42447182,42450460,40.792248,-73.9462785,40.792871,-73.9477624,143.00570785504476
6249,42447182,42447179,40.792248,-73.9462785,40.7915682,-73.9467668,86.0636666131284
6250,42447182,42450057,40.792248,-73.9462785,40.791572,-73.944675,154.6773048980817
6251,42447187,42436644,40.79418,-73.9448653,40.7935499,-73.9453255,80.08003640117767
6252,42447187,42459180,40.79418,-73.9448653,40.7948049,-73.9463469,142.93423560910165
6253,42447192,42434384,40.7954473,-73.9439398,40.7948104,-73.9444042,80.91296624459008
6254,42447192,42458112,40.7954473,-73.9439398,40.7960687,-73.9454246,142.98165330448398
6255,42447196,42447192,40.7960891,-73.9434711,40.7954473,-73.9439398,81.56515413293491
6256,42447196,42449422,40.7960891,-73.9434711,40.7954144,-73.94187,154.43022760494893
6257,42447199,42435395,40.7986157,-73.9416251,40.7979309,-73.9421296,87.21016791919878
6258,42447199,42450071,40.7986157,-73.9416251,40.7979386,-73.9400272,154.32443532453436
6259,42447199,42458342,40.7986157,-73.9416251,40.7992437,-73.9431074,143.15359254825327
6260,42447201,42447199,40.7993007,-73.9411255,40.7986157,-73.9416251,87.02888457313115
6261,42447201,42449833,40.7993007,-73.9411255,40.7999262,-73.9426093,143.12875998261666
6262,42447206,42443819,40.8018125,-73.9392896,40.8011925,-73.9397405,78.71797785320972
6263,42447206,42456162,40.8018125,-73.9392896,40.8024388,-73.9407754,143.31935368978807
6264,42447207,42445189,40.803071,-73.938371,40.8024455,-73.9388286,79.52646876213583
6265,42447207,42452330,40.803071,-73.938371,40.8036999,-73.939855,143.3275196567706
6266,42447208,42434129,40.80567,-73.936471,40.8050469,-73.9369273,79.23998014625289
6267,42447209,42447208,40.806296,-73.936016,40.80567,-73.936471,79.46903648628604
6268,42447209,42426960,40.806296,-73.936016,40.8056351,-73.9343937,156.04583873199942
6269,42447210,42424757,40.8075465,-73.9351219,40.8069238,-73.9355687,78.81516795613867
6270,42447228,42455662,40.768646,-73.969825,40.768025,-73.970281,79.0236430629243
6271,42447228,42457788,40.768646,-73.969825,40.7688496,-73.9722485,208.71107091099293
6272,42447230,42437428,40.7672427,-73.9664877,40.767878,-73.9660272,80.59843797274378
6273,42447230,596775979,40.7672427,-73.9664877,40.7673389,-73.9667158,22.005110147726374
6274,42447235,42447069,40.7659323,-73.9633881,40.7666073,-73.9649892,154.4464311458038
6275,42447235,42437436,40.7659323,-73.9633881,40.766557,-73.9629323,79.37512337906412
6276,42447237,42437451,40.76399,-73.958781,40.7646126,-73.9583242,79.21187411321442
6277,42447237,42442983,40.76399,-73.958781,40.7649866,-73.9611457,228.0879702695634
6278,42447246,42440825,40.7200394,-74.0039146,40.720557,-74.0034834,68.06709175339239
6279,42447246,42428431,40.7200394,-74.0039146,40.719153,-74.002091,182.6888796942646
6280,42447249,42428428,40.7194841,-74.0043702,40.7186389,-74.0025285,181.4932224013108
6281,42447249,42447246,40.7194841,-74.0043702,40.7200394,-74.0039146,72.71103119977242
6282,42447255,42438038,40.71733,-73.999449,40.7162,-74.000138,138.41180245703293
6283,42447255,6123654602,40.71733,-73.999449,40.717243,-73.9988793,50.79736714128296
6284,42447273,42425570,40.794787,-73.964303,40.7941936,-73.9628635,138.13650452755365
6285,42447273,42447275,40.794787,-73.964303,40.7954638,-73.9638068,86.092592419761
6286,42447275,42447273,40.7954638,-73.9638068,40.794787,-73.964303,86.092592419761
6287,42447275,42447278,40.7954638,-73.9638068,40.7960892,-73.9633482,79.55768715266016
6288,42447278,42447275,40.7960892,-73.9633482,40.7954638,-73.9638068,79.55768715266016
6289,42447278,42447281,40.7960892,-73.9633482,40.7967202,-73.9628856,80.26570769133191
6290,42447278,42435333,40.7960892,-73.9633482,40.795488,-73.9619166,137.96971147993872
6291,42447281,42447278,40.7967202,-73.9628856,40.7960892,-73.9633482,80.26570769133191
6292,42447281,42447285,40.7967202,-73.9628856,40.7973475,-73.9624256,79.79966431577225
6293,42447285,42435336,40.7973475,-73.9624256,40.796746,-73.9609963,137.81628605710128
6294,42447285,42437916,40.7973475,-73.9624256,40.79798,-73.9619619,80.45652663722034
6295,42447285,42447281,40.7973475,-73.9624256,40.7967202,-73.9628856,79.79966431577225
6296,42447295,42432737,40.7999544,-73.9605143,40.7993247,-73.9609759,80.09841955189499
6297,42447295,42435341,40.7999544,-73.9605143,40.7993575,-73.9590858,137.50977814463965
6298,42447295,42447303,40.7999544,-73.9605143,40.8005822,-73.9600539,79.86463649165877
6299,42447303,42447295,40.8005822,-73.9600539,40.7999544,-73.9605143,79.86463649165877
6300,42447303,42443426,40.8005822,-73.9600539,40.8011882,-73.9614855,138.22905372279487
6301,42447303,5838916777,40.8005822,-73.9600539,40.8011616,-73.9596304,73.64997706303114
6302,42447317,42431210,40.8037326,-73.9577756,40.8030961,-73.9582388,80.82511946496295
6303,42447317,42435755,40.8037326,-73.9577756,40.803115,-73.956321,140.55093459733635
6304,42447317,42440104,40.8037326,-73.9577756,40.803894,-73.958204,40.33025126361563
6305,42447317,42446778,40.8037326,-73.9577756,40.8043633,-73.9573209,79.91492116836693
6306,42447323,42437188,40.8057124,-73.956335,40.8050363,-73.9568241,85.73507187891899
6307,42447323,42440112,40.8057124,-73.956335,40.806291,-73.957722,133.46348781810468
6308,42447323,42447326,40.8057124,-73.956335,40.8063371,-73.9558749,79.5512713617877
6309,42447326,42447323,40.8063371,-73.9558749,40.8057124,-73.956335,79.5512713617877
6310,42447326,4708064890,40.8063371,-73.9558749,40.8057298,-73.9544228,139.81046750079463
6311,42447326,42447330,40.8063371,-73.9558749,40.8069647,-73.955416,79.78855175396185
6312,42447330,42440125,40.8069647,-73.955416,40.807546,-73.956806,133.82985611374417
6313,42447330,42429744,40.8069647,-73.955416,40.8075923,-73.9549589,79.71033036303879
6314,42447330,42447326,40.8069647,-73.955416,40.8063371,-73.9558749,79.78855175396185
6315,42447336,42445219,40.8088516,-73.9540557,40.8082246,-73.9545014,79.19881184972631
6316,42447336,42432917,40.8088516,-73.9540557,40.808396,-73.952952,105.95244420689683
6317,42447346,42456831,40.8165385,-73.9349094,40.8153225,-73.9357582,152.96403786409178
6318,42447346,589927996,40.8165385,-73.9349094,40.8166934,-73.9348013,19.484346378820632
6319,42447346,42438271,40.8165385,-73.9349094,40.817799,-73.935956,220.8727619935199
6320,42447389,42432961,40.8217502,-73.9472408,40.8212618,-73.9460796,111.95070724871542
6321,42447389,42444854,40.8217502,-73.9472408,40.8239713,-73.9467212,316.03863991688854
6322,42447389,42447399,40.8217502,-73.9472408,40.8221053,-73.948085,81.3905148417065
6323,42447399,42427735,40.8221053,-73.948085,40.821487,-73.948541,78.76151769735728
6324,42447399,42438291,40.8221053,-73.948085,40.822737,-73.947622,80.35011403864755
6325,42447399,42442613,40.8221053,-73.948085,40.8226821,-73.9494564,132.21544471814101
6326,42447399,42447389,40.8221053,-73.948085,40.8217502,-73.9472408,81.3905148417065
6327,42447404,42433800,40.8231195,-73.9504964,40.822646,-73.9513029,85.99243654321184
6328,42447404,561035357,40.8231195,-73.9504964,40.8238602,-73.9522576,169.79318982159725
6329,42447418,42454622,40.841087,-73.937929,40.841679,-73.937494,75.345417540929
6330,42447418,42455238,40.841087,-73.937929,40.840487,-73.938364,76.12359036817313
6331,42447418,42428980,40.841087,-73.937929,40.8416657,-73.9392736,130.34824409750763
6332,42447419,42427136,40.843193,-73.942944,40.842154,-73.942279,147.32436503754073
6333,42447428,42451593,40.7162121,-73.9875258,40.7164713,-73.9883784,77.4439146096629
6334,42447428,42440408,40.7162121,-73.9875258,40.7159628,-73.9867058,74.48338324208075
6335,42447435,1919595910,40.7218039,-73.9846395,40.7216748,-73.9847062,15.415332431958536
6336,42447435,42451604,40.7218039,-73.9846395,40.7220522,-73.9854578,74.30882705440791
6337,42448141,42438984,40.809582,-73.939949,40.8089533,-73.9404148,80.17411921496912
6338,42448141,42446184,40.809582,-73.939949,40.8088999,-73.9383306,156.10478805679057
6339,42448162,42436333,40.718269,-74.007052,40.719029,-74.008747,166.01618378401633
6340,42448162,42452816,40.718269,-74.007052,40.7176679,-74.0075333,78.18555082201183
6341,42448171,42448162,40.7176834,-74.0057919,40.718269,-74.007052,124.60125643678067
