../Expiration/Expiration_10000_Independent_cluster_min=10_max=10000_alpha=-5e-06 copy_original_Dijkstra.csv
road_id,road_pagerank,road_length,road_clusterId,expiration,random_expiration,pickup
141,0.00075910,7.590987131417934,9,0,0,0
142,0.53246262,83.04320014695224,1,34,20,0
143,0.00000000,6.865855360290381,9,0,0,0
144,0.00000000,8.638967080767824,9,0,0,0
145,0.00000000,133.0637600670352,9,0,0,0
146,0.00220079,32.432706884492504,9,0,0,0
147,0.00229324,271.7912244982169,9,1,0,0
148,0.00058196,270.61095850129925,9,0,0,0
149,0.00000000,187.290266117243,9,0,0,0
150,0.00000000,84.20744020134191,9,0,0,0
151,0.00000000,86.24711679647736,9,0,0,0
152,0.00034446,141.2268947970443,9,0,0,0
153,0.00000000,77.70015437888323,9,0,0,0
154,0.00000000,45.53030975543679,9,0,0,0
155,0.00000000,15.038239611478604,9,0,0,0
156,0.00000000,82.33987030099628,9,0,0,0
157,0.00182315,91.15767575595159,9,1,0,0
158,0.00889869,327.8462931410125,9,0,0,0
159,0.02515206,166.22704019157092,9,2,2,0
160,0.00000000,301.2619500985976,9,0,0,0
161,0.01831466,896.3410898325462,9,0,0,0
162,0.00000000,225.214167033381,9,0,0,0
163,0.00561770,154.4866506008363,9,0,0,0
164,0.00034204,3.420409498270998,44,1,1,0
165,0.00878161,514.0456031576002,9,0,0,0
166,0.00198319,82.63295539854013,9,0,0,0
167,0.06074746,84.84282610390974,10,0,2,0
168,0.53309583,76.31721438991345,10,2,15,0
169,0.22509175,152.14776629444077,10,1,3,0
170,0.31421652,150.72801361426056,10,24,25,0
171,1.23020158,83.0987585556354,0,20,48,0
172,2.88657489,187.59341364852648,0,26,54,0
173,1.04333846,275.5071855752824,10,38,57,0
174,0.02725101,79.69925482107006,10,4,5,0
175,0.69515021,135.0960456760405,10,20,66,0
176,0.02941286,125.40366003381158,9,0,0,0
177,0.00075667,79.45017970158446,9,0,0,0
178,0.00882156,177.46503445906254,9,3,3,0
179,0.00788471,99.63250202758961,9,1,2,0
180,0.13059884,76.85402459996915,1,3,10,0
181,0.00419149,213.85155145707702,9,0,0,0
182,0.00069812,31.415207506809224,9,0,0,0
183,0.00369348,89.6474984280546,9,0,0,0
184,0.20628106,113.98775316016054,9,9,9,0
185,0.01453925,123.32402806200784,9,1,1,0
186,0.06752109,136.5254253616456,9,5,9,0
187,0.84223171,79.48081578719794,0,38,111,0
188,0.00000000,128.3683678807237,9,1,0,0
189,0.00000000,184.85629269691532,9,0,0,0
190,0.00000000,111.80139700874713,9,0,0,0
191,0.20637992,129.7986923012364,9,6,5,0
192,0.11309165,538.5316627986116,9,0,0,0
193,0.02513813,101.44660806700188,10,2,3,0
194,0.05538808,123.08461163135658,9,0,0,0
195,0.06859887,242.91383130350607,9,0,0,0
196,0.00069663,20.898920749282563,9,0,0,0
197,0.01984536,163.03556210681643,9,0,0,0
198,0.00279507,85.71536797240344,10,0,0,0
199,0.28116556,323.9828391933012,10,2,13,0
200,0.33082918,274.433167258738,10,24,26,0
201,0.00000000,35.38457342642276,9,0,0,0
202,0.00073057,62.09822338286973,9,0,0,0
203,1.59592991,73.90718749276682,31,39,134,0
204,0.24544387,130.55524849784095,9,12,23,0
205,1.33489316,79.33557415389102,20,4,36,0
206,0.03973339,77.97507421875784,10,0,3,0
207,0.00049466,93.81432123700327,10,0,0,0
208,0.31415319,277.53875553954344,10,33,42,0
209,2.09114098,90.39188700215082,15,3,37,0
210,0.26610749,164.97674486030454,15,0,5,0
211,1.54537344,86.9306514506543,15,1,23,0
212,0.16473975,274.05873073815764,15,1,3,0
213,0.00060059,138.13533834942487,9,0,0,0
214,0.00000000,147.3651198915213,9,0,0,0
215,0.00000000,117.08520317867477,9,0,0,0
216,0.01265844,170.7589693515976,9,0,0,0
217,0.00000000,12.167865127715977,9,0,0,0
218,1.23771951,76.80132164667828,31,10,68,0
219,0.15320973,131.10856697507992,9,10,18,0
220,0.00034170,134.97225415314034,9,0,0,0
221,0.60063133,160.9613397126804,1,19,49,0
222,0.05153876,88.01194785755003,9,1,0,0
223,0.02629126,163.2825693962421,9,3,2,0
224,0.00876560,129.54915998445472,9,0,0,0
225,0.08302603,77.31914003135937,9,3,2,0
226,0.02233729,81.54883165323507,9,0,0,0
227,0.00060283,328.5447887688403,9,0,0,0
228,0.00000000,10.795907058833938,9,0,0,0
229,0.00121383,1250.245372640348,9,0,0,0
230,0.00034498,77.62098952142846,9,0,0,0
231,0.00107381,137.00366888249894,9,0,0,0
232,0.00000000,28.639876067652878,9,0,0,0
233,0.00062446,6.244571946833411,9,0,0,0
234,0.00459578,339.42709552421456,9,0,0,0
235,0.02645369,79.3337108499457,9,1,1,0
236,0.07753556,144.47619899992094,9,0,0,0
237,0.31908548,119.62928505670423,1,20,18,0
238,0.00382744,87.36540207645898,9,0,0,0
239,0.00000000,480.6055918234563,9,0,0,0
240,0.00949384,80.64269265136221,10,0,0,0
241,1.62944573,88.19733340076785,14,13,87,0
242,0.12793399,271.87047704072546,10,14,20,0
243,0.00783620,72.65351877290718,44,2,3,0
244,0.47443498,209.5416629424044,9,19,19,0
245,0.00162963,138.10445132292554,9,1,1,0
246,0.00139969,1588.3452592746269,9,0,0,0
247,0.00119468,952.6775709691592,9,0,0,0
248,0.01510681,28.503423387787496,9,0,0,0
249,0.00000000,14.536112600052883,9,0,0,0
250,1.91569410,80.50211104894487,15,25,34,0
251,0.00000000,54.7300975054832,9,0,0,0
252,0.00073838,55.378632883785954,9,0,0,0
253,0.00000000,47.635566727167145,9,0,0,0
254,0.00866256,90.39188700215082,15,0,0,0
255,0.01134940,229.95521395136083,15,2,1,0
256,0.79249925,274.5977820068593,15,64,83,0
257,0.03090860,78.24961847561057,9,3,3,0
258,0.00348355,324.9081352951989,9,0,0,0
259,0.00186124,17.23373061309856,9,0,0,0
260,0.00103226,70.04621767874113,9,1,1,0
261,0.10669596,1070.5280596800212,9,0,0,0
262,0.00000000,186.40551749981307,9,0,0,0
263,0.00000000,69.73786096491287,9,0,0,0
264,0.00000000,238.8385658912641,9,0,0,0
265,0.95595463,84.71183374457644,15,13,11,0
266,1.91322738,229.95521395136083,15,58,51,0
267,0.00069381,31.221316712853895,9,0,0,0
268,0.00091026,39.01108962816636,9,0,0,0
269,0.00000000,231.62737292629504,9,0,0,0
270,0.00000000,47.635566727167145,9,0,0,0
271,0.01281299,114.12376929529587,9,0,0,0
272,0.05558806,167.7926002626399,9,4,4,0
273,0.02592308,90.39842220365323,9,2,1,0
274,0.00000000,33.270261671754376,9,0,0,0
275,0.01072339,175.0254202301133,9,1,1,0
276,0.12890432,49.70939955479875,1,0,1,0
277,0.00000000,35.48007137523915,9,0,0,0
278,0.00046645,228.56203973804415,9,0,0,0
279,0.15242915,464.8865607770921,9,0,0,0
280,0.03540238,76.4080218657547,9,1,1,0
281,0.00075271,255.9230537933859,9,0,0,0
282,0.00000000,13.285553367698443,9,0,0,0
283,0.00058160,499.64803270622525,9,0,0,0
284,0.00000000,189.13011507908595,9,0,0,0
285,0.00000000,555.8815808472757,9,0,0,0
286,0.31691847,60.768027204019624,9,29,29,0
287,0.16169710,76.4525296819579,9,5,5,0
288,0.40380925,81.40289843011719,9,22,20,0
289,0.00138206,79.46834057500779,9,0,0,0
290,0.00000000,107.84142582569908,9,0,0,0
291,0.00000000,196.06554700652913,9,0,0,0
292,0.00184356,92.17807813173832,9,1,1,0
293,0.06881681,388.77502472372527,9,0,0,0
294,0.00229198,73.54867008270845,18,0,0,0
295,0.01523664,81.68825975535142,18,3,3,0
296,0.02824557,162.0288718259941,9,0,0,0
297,0.06453971,931.2777246802074,9,1,0,0
298,0.00367806,49.233809087951144,9,0,0,0
299,0.00585341,133.86718999415174,9,0,0,0
300,0.10027072,263.9419143459272,9,2,2,0
301,0.05837763,237.51069095150146,9,3,3,0
302,0.00000000,84.02155629442451,9,0,0,0
303,0.00000000,419.5615719583616,9,0,0,0
304,0.00000000,97.41308405823615,9,0,0,0
305,0.00000000,97.390649547859,9,0,0,0
306,0.00652806,647.0793609925241,9,0,0,0
307,0.00000000,117.05676959184417,9,0,0,0
308,0.00000000,39.82080092309508,9,0,0,0
309,0.00000000,208.2052189485253,9,0,0,0
310,0.00083892,51.064932603883804,9,0,0,0
311,0.03610020,174.08724418174975,9,3,3,0
312,0.97570583,204.56527748184092,10,50,57,0
313,0.62024222,165.34893254868615,10,8,12,0
314,0.00555754,132.4762682668715,9,1,1,0
315,0.99721253,80.39515208054371,9,4,3,0
316,0.00000000,18.336474626040346,9,0,0,0
317,0.00000000,132.47626826687147,9,0,0,0
318,0.03743644,80.82450384100933,9,1,0,0
319,0.00647498,88.8387359979348,9,0,0,0
320,0.00000000,80.82450384100933,9,0,0,0
321,0.00172185,82.34921909868324,9,0,0,0
322,0.00034441,225.59009372751188,9,0,0,0
323,0.00000000,82.34921909868324,9,0,0,0
324,0.03140635,78.5158818413094,9,1,0,0
325,0.00508099,123.59169328440666,9,0,0,0
326,0.00000000,78.5158818413094,9,0,0,0
327,0.00034031,173.559884587999,9,0,0,0
328,0.00071831,82.605466061234,9,0,0,0
329,0.00735313,157.8147187744099,9,0,0,0
330,0.09144250,118.18093889607994,9,2,2,0
331,0.01077463,82.605466061234,9,2,2,0
332,0.95452675,227.89226359016183,9,18,20,0
333,0.05991240,184.17238576574627,9,0,0,0
334,0.00072887,105.68625365765459,9,0,0,0
335,0.01447717,118.18093889607994,9,0,0,0
336,0.00075964,227.89226359016183,9,0,0,0
337,0.44887119,233.68800978967363,9,3,3,0
338,0.01249909,76.30258779923679,9,0,0,0
339,0.00917725,77.08893461939921,9,1,1,0
340,0.00219034,89.29857531162146,9,0,0,0
341,0.02979434,76.30258779923679,9,2,2,0
342,0.00000000,77.08893461939921,9,0,0,0
343,0.05257752,79.37655404255158,9,1,0,0
344,0.00000000,79.37655404255158,9,0,0,0
345,0.07326796,76.62485765020362,9,0,0,0
346,0.00053147,126.86740599629195,9,0,0,0
347,0.00000000,76.62485765020362,9,0,0,0
348,0.00181587,79.44437490637011,9,0,0,0
349,0.00461880,170.6199608319915,9,0,0,0
350,0.00000000,79.44437490637011,9,0,0,0
351,0.00380046,79.01942216081262,9,0,0,0
352,0.00034022,200.7312961871033,9,0,0,0
353,0.00000000,79.01942216081262,9,0,0,0
354,0.00072692,54.51931237836621,9,0,0,0
355,0.07087872,149.03593604417767,9,1,1,0
356,0.00000000,54.51931237836621,9,0,0,0
357,0.04207352,80.41854220141005,9,1,1,0
358,0.00000000,80.41854220141005,9,0,0,0
359,0.05146692,73.05453907211297,9,2,1,0
360,0.00844301,134.39895057776062,9,0,0,0
361,0.00000000,73.05453907211297,9,0,0,0
362,0.00514895,79.48036832496892,9,1,0,0
363,0.04621565,98.33116929061843,9,2,1,0
364,0.12304225,108.22642774918397,9,4,4,0
365,0.00043166,196.8360929192334,9,1,1,0
366,0.00074263,77.97661054175076,9,0,0,0
367,0.00000000,108.22642774918397,9,0,0,0
368,0.00114391,141.08183702805155,9,0,0,0
369,0.02114955,82.85388970363366,9,0,0,0
370,0.09448755,85.69276763805453,9,2,0,0
371,0.00000000,141.08183702805155,9,0,0,0
372,0.00963773,142.916978760988,9,0,0,0
373,0.00593592,199.11639393119742,9,3,4,0
374,0.00073291,142.916978760988,9,1,0,0
375,0.00000000,81.39789463042587,9,0,0,0
376,0.00000000,199.11639393119742,9,0,0,0
377,0.01001243,247.5800368464641,9,0,0,0
378,0.00207723,76.44210018921281,9,0,0,0
379,0.00054977,244.64616015456045,9,0,0,0
380,0.00173222,310.779878613269,9,0,0,0
381,0.00034151,87.08611180772593,9,0,0,0
382,0.00000000,247.5800368464641,9,0,0,0
383,0.14244836,214.63704078781907,9,10,7,0
384,0.01464968,39.31040848226743,9,0,1,0
385,0.04223288,75.97725936714038,9,2,4,0
386,0.38444619,95.02554156848423,45,28,29,0
387,0.05199959,39.81591953812182,9,7,6,0
388,0.05494117,78.83691462506141,9,3,1,0
389,0.01870499,58.871209479596686,9,5,4,0
390,0.03481757,37.384650478829144,9,3,1,0
391,0.02082498,89.59899558826233,9,3,3,0
392,0.00324661,32.46611574915119,9,1,1,0
393,0.00055195,30.357264354522066,9,0,0,0
394,0.01295469,66.91472439173619,9,1,1,0
395,0.20012644,59.93304784883504,1,6,5,0
396,0.04341219,76.48562586442537,9,1,1,0
397,0.00368299,67.9132268725094,9,0,0,0
398,0.00410572,34.62652898831106,9,1,1,0
399,0.07094484,52.330228147839215,1,7,7,0
400,0.40515611,105.80669571790801,1,38,35,0
401,0.40353559,73.68269976684817,1,24,26,0
402,0.00920174,90.16111504229602,9,0,0,0
403,0.17431486,167.7926002626399,9,10,9,0
404,0.03452026,87.60097076625486,9,3,5,0
405,0.29012367,150.69909708248974,1,14,19,0
406,0.28344330,89.28226769358777,1,12,11,0
407,0.02828001,75.22761951016105,9,1,1,0
408,0.36978564,51.73731325280558,1,11,16,0
409,0.01075393,76.62505694521528,9,3,3,0
410,0.00717274,75.06360808014574,9,0,0,0
411,0.00055694,66.83285819943765,9,0,0,0
412,0.67628468,85.32551227423015,1,30,29,0
413,0.11445886,31.415972985682185,1,8,7,0
414,0.44475570,114.03279284239348,1,29,30,0
415,0.07498444,59.900424190525264,1,10,8,0
416,0.06081093,42.205387321474014,1,5,3,0
417,1.35028014,137.82306627214643,1,78,88,0
418,0.16486234,52.12821548089785,1,16,13,0
419,0.52058723,71.71720540132407,1,45,42,0
420,0.00054506,87.20891093523063,9,0,0,0
421,0.02571768,113.69921019198061,9,1,0,0
422,0.29838654,223.05757401814245,9,8,7,0
423,0.01858093,83.98160928633261,9,1,1,0
424,0.00000000,42.30738162916904,9,0,0,0
425,0.00858498,58.47357507707482,9,0,0,0
426,0.00000000,15.252701238258663,9,0,0,0
427,0.00084183,78.75199492649269,9,0,0,0
428,0.00000000,29.68840402500157,9,0,0,0
429,0.00362918,81.25019987480519,9,0,0,0
430,0.03158200,138.25598529424985,9,0,1,0
431,0.00157846,213.23031807970898,9,0,0,0
432,0.06430564,141.09253882582922,9,3,2,0
433,0.00000000,15.168563453501559,9,0,0,0
434,0.08727139,228.8114848966568,9,5,3,0
435,0.47960459,113.74899080428753,1,20,35,0
436,0.95005716,74.39542744196672,0,24,55,0
437,0.73479444,310.63668445443955,1,61,74,0
438,0.97398453,74.39413355895174,0,45,74,0
439,0.76832439,274.08516468496333,1,77,87,0
440,0.97027236,74.43487346994581,0,58,82,0
441,0.49217641,274.37054182949686,1,38,38,0
442,0.85389082,74.16155224482469,0,54,62,0
443,0.35640424,74.18791575261002,1,29,37,0
444,0.22241761,277.8157158377737,42,16,24,0
445,0.27031125,270.06068103851703,42,18,18,0
446,0.79101633,73.78883664755084,42,55,59,0
447,0.07308535,224.2049731768835,9,5,5,0
448,0.05749231,79.54911398073214,9,0,0,0
449,1.13126876,74.33649801143542,27,92,104,0
450,0.16709242,83.71625997749915,27,13,15,0
451,0.13128581,85.93057411482214,9,8,8,0
452,0.00084956,74.33649801143542,9,0,0,0
453,0.00917316,64.18538005874822,9,0,0,0
454,0.09545563,76.03862552898184,9,2,2,0
455,0.30613934,63.13236173729407,27,25,24,0
456,1.15555878,78.34113669710425,0,71,108,0
457,0.35281213,309.5813122871493,1,31,45,0
458,0.90971583,84.60505283821894,0,90,119,0
459,0.87053099,274.0448868753387,1,89,96,0
460,0.53433229,273.9314226892644,1,61,63,0
461,0.73951077,78.58487511840121,0,66,83,0
462,0.98612068,84.71592350432536,1,43,87,0
463,0.43426147,294.0550562712053,1,43,56,0
464,2.51787733,270.2870717251239,1,239,256,0
465,1.03185047,78.50271192973688,1,72,87,0
466,0.00075687,166.51150625135367,9,0,0,0
467,0.00000000,22.694137891775924,9,0,0,0
468,0.00877461,164.35816303685016,9,0,0,0
469,0.00000000,132.6210812084534,9,0,0,0
470,0.00000000,77.7341821495444,9,0,0,0
471,0.00000000,145.66733923937016,9,0,0,0
472,0.00000000,21.873436782001384,9,0,0,0
473,0.00061819,108.18249234637564,9,1,1,0
474,0.00034447,132.6210812084534,9,0,0,0
475,0.00693647,86.70581650214021,9,2,2,0
476,0.00452218,79.39707801804904,9,0,0,0
477,0.00447972,128.7275251024315,9,0,0,0
478,0.00000000,168.71685834105423,9,0,0,0
479,0.00971645,79.28357137193132,9,0,0,0
480,0.00034424,79.17416630490864,9,0,0,0
481,0.00000000,203.47907725772438,9,0,0,0
482,0.00251446,452.935675684879,9,0,0,0
483,0.00054754,109.50778698355234,9,0,0,0
484,0.00033310,496.31277641385634,9,0,0,0
485,0.00225587,131.88163379740413,9,1,1,0
486,0.00000000,78.76151769735728,9,0,0,0
487,0.00000000,396.78733453660504,9,0,0,0
488,0.06304138,52.27311454105193,9,2,0,0
489,0.04465001,84.3479841516404,9,1,2,0
490,0.00053337,258.6836558364799,9,0,0,0
491,0.00329789,127.82531323480596,9,1,1,0
492,0.00053909,150.94532827512177,9,1,1,0
493,0.00051153,76.72920167293444,9,0,0,0
494,0.01121308,150.94532827512177,9,0,0,0
495,0.00000000,75.78314952621922,9,0,0,0
496,0.00054131,75.78314952621922,9,0,0,0
497,0.00054218,208.73887326462207,9,0,0,0
498,0.73276823,87.84873163117621,0,22,31,0
499,0.34025225,155.15611807902377,10,48,50,0
500,0.24342684,62.43011710352811,10,22,25,0
501,0.00055237,80.09431843150597,9,0,0,0
502,0.00054736,79.36782672892028,9,0,0,0
503,0.00069893,80.37725764678736,9,0,0,0
504,0.00034049,134.4916124796336,9,0,0,0
505,0.00000000,53.69681201975684,9,0,0,0
506,0.00052539,84.06193912414979,9,0,0,0
507,0.00074755,113.42163124437953,9,0,0,0
508,0.00034210,97.49850080460959,9,0,0,0
509,0.10305841,134.54100382781425,9,2,1,0
510,0.00377171,51.432435275253205,9,0,0,0
511,0.00033930,84.82490756290294,9,0,0,0
512,0.00049733,159.14616281780408,9,0,0,0
513,0.00033930,84.82490756290294,9,0,0,0
514,0.78371601,79.13566904883862,0,10,43,0
515,1.41294683,170.99978969770112,0,114,114,0
516,0.33941574,139.71108045370642,1,36,41,0
517,0.26625418,85.03976245224827,1,34,32,0
518,1.49720027,78.48663723816377,0,84,128,0
519,0.77081585,274.1653392988746,1,74,74,0
520,0.74970490,78.64511503338356,0,78,88,0
521,0.81682469,273.82379752776586,1,56,54,0
522,1.10584121,79.0120108792443,0,56,82,0
523,0.21704042,277.0612067906006,1,24,25,0
524,0.18461710,77.04991397678877,1,7,10,0
525,0.07235433,270.81582513430214,1,6,6,0
526,0.33688440,274.1599323847046,1,17,19,0
527,0.97313942,79.61251200942641,1,49,59,0
528,1.36661052,80.38559312366638,1,94,97,0
529,0.08293069,265.5552323248992,9,5,4,0
530,0.00136025,83.70797200293649,9,0,0,0
531,0.00000000,19.359269564502902,9,0,0,0
532,0.00116358,86.3300213913565,9,0,0,0
533,0.00000000,78.40412903569089,9,0,0,0
534,0.00000000,193.0316389298337,9,0,0,0
535,0.03564275,176.32453463922974,9,1,1,0
536,0.00000000,12.119050216255257,9,0,0,0
537,0.00000000,29.071230452944185,9,0,0,0
538,0.00000000,24.290857600600205,9,0,0,0
539,0.00672756,78.48823037490703,9,0,0,0
540,0.00000000,77.55025092150848,9,0,0,0
541,0.00000000,78.48823037490703,9,0,0,0
542,0.00075320,79.08626410525622,9,0,0,0
543,0.00034549,243.56993092516063,9,0,0,0
544,0.00000000,79.08626410525622,9,0,0,0
545,0.00000000,228.49939696235984,9,0,0,0
546,0.00074377,85.53333073222295,9,0,0,0
547,0.00087719,122.80608711282855,9,0,0,0
548,0.00000000,85.53333073222295,9,0,0,0
549,0.00000000,210.39873378147027,9,0,0,0
550,0.00086991,117.43755329582882,9,1,0,0
551,0.00751738,176.65847294761193,9,1,1,0
552,0.00055335,118.96920673116055,9,0,0,0
553,0.00055414,121.91138701890274,9,0,0,0
554,0.00075142,210.39873378147027,9,0,0,0
555,0.00000000,176.65847294761193,9,0,0,0
556,0.00055359,119.02207946970073,9,0,0,0
557,0.00000000,122.15865548723454,9,0,0,0
558,0.00470844,177.03739962970707,9,0,0,0
559,0.00074036,122.15865550744059,9,0,0,0
560,0.00000000,118.8954548701294,9,0,0,0
561,0.00072963,131.33407637288758,9,0,0,0
562,0.00000000,177.03739962970707,9,0,0,0
563,0.00000000,129.68779898392978,9,0,0,0
564,0.00054836,90.479566467014,9,0,0,0
565,0.00000000,118.80636190955475,9,0,0,0
566,0.00072963,131.33407637288758,9,0,0,0
567,0.00000000,129.68779898392978,9,0,0,0
568,0.00000000,27.29526692646846,9,0,0,0
569,0.00091227,156.91103042199268,9,0,0,0
570,0.00054225,78.6269391993928,9,0,0,0
571,0.00000000,88.42338150754631,9,0,0,0
